TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.task_evaluated.task_1727,BRANCH;EXCEPTION,0.6956521739130435,25,4
com.example.task_evaluated.task_14328,BRANCH;EXCEPTION,0.7222222222222222,33,18
com.example.task_evaluated.task_31375,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_9905,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_20,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17865,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_17820,BRANCH;EXCEPTION,0.6666666666666666,5,3
com.example.task_evaluated.task_14560,BRANCH;EXCEPTION,0.9090909090909092,18,16
com.example.task_evaluated.task_18447,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_18096,BRANCH;EXCEPTION,0.9545454545454546,16,15
com.example.task_evaluated.task_17867,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_18189,BRANCH;EXCEPTION,0.7,6,3
com.example.task_evaluated.task_11635,BRANCH;EXCEPTION,0.9285714285714286,10,9
com.example.task_evaluated.task_2792,BRANCH;EXCEPTION,0.8333333333333333,4,3
com.example.task_evaluated.task_13874,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_9365,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17629,BRANCH;EXCEPTION,0.6,5,1
com.example.task_evaluated.task_211,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_15930,BRANCH;EXCEPTION,0.9285714285714286,9,8
com.example.task_evaluated.task_20704,BRANCH;EXCEPTION,0.9,7,6
com.example.task_evaluated.task_19248,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_35943,BRANCH;EXCEPTION,0.8571428571428572,10,8
com.example.task_evaluated.task_19664,BRANCH;EXCEPTION,0.8333333333333333,12,9
com.example.task_evaluated.task_14112,BRANCH;EXCEPTION,0.9285714285714286,10,9
com.example.task_evaluated.task_10774,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_18035,BRANCH;EXCEPTION,1.0,12,12
com.example.task_evaluated.task_7254,BRANCH;EXCEPTION,0.763157894736842,23,14
com.example.task_evaluated.task_20798,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_18128,BRANCH;EXCEPTION,0.7307692307692308,15,8
com.example.task_evaluated.task_20579,BRANCH;EXCEPTION,0.8461538461538461,16,12
com.example.task_evaluated.task_17085,BRANCH;EXCEPTION,0.8181818181818181,13,9
com.example.task_evaluated.task_18190,BRANCH;EXCEPTION,0.7,6,3
com.example.task_evaluated.task_17379,BRANCH;EXCEPTION,1.0,4,4
